Date,Close,High,Low,Open,Volume
1/3/2023,123.7684708,129.5377957,122.877835,128.9242525,112117500
1/4/2023,125.0450363,127.3211044,123.7783578,125.5695197,89113600
1/5/2023,123.7189789,126.4403611,123.46169,125.8070218,80962700
1/6/2023,128.2711182,128.9341441,123.5903446,124.6986922,87754700
1/9/2023,128.7956085,132.0216935,128.5383196,129.1122857,70790800
1/10/2023,129.3695526,129.894036,126.786713,128.9044425,63896200
1/11/2023,132.1008301,132.1206111,129.1023632,129.8841354,69458900
1/12/2023,132.0216675,132.8628129,130.0721672,132.4867776,71379600
1/13/2023,133.357605,133.5159436,130.2898744,130.6560191,57809700
1/17/2023,134.5253448,135.861287,132.734183,133.4268954,63646600
1/18/2023,133.8029327,137.1675443,133.6247981,135.3961787,69672800
1/19/2023,133.8623199,134.8321174,132.3779297,132.6847012,58280400
1/20/2023,136.435257,136.583705,132.8232466,133.8722133,80223600
1/23/2023,139.6415405,141.8285488,136.4649387,136.6826505,81760300
1/24/2023,141.0467682,141.670217,138.8399788,138.8498693,66435100
1/25/2023,140.3837433,140.9478038,137.3654799,139.4238363,65799300
1/26/2023,142.4618835,142.748859,140.4233083,141.6800962,54105100
1/27/2023,144.4113922,145.697867,141.5910594,141.6702287,70555800
1/30/2023,141.5118561,144.0353223,141.3634231,143.4514658,64015300
1/31/2023,142.7884216,142.8379043,140.7993444,141.2149718,65874500
2/1/2023,143.9165802,145.0843084,139.8493653,142.4717821,77663600
2/2/2023,149.2504883,149.6067274,146.6280566,147.3504556,118339000
2/3/2023,152.8922119,155.7422463,146.2916244,146.4895401,154357300
2/6/2023,150.1510468,151.5068004,149.2109358,150.9823169,69858300
2/7/2023,153.0406189,153.6145849,149.0723547,149.0723547,83322600
2/8/2023,150.339035,152.9713572,149.5968399,152.2786448,64120100
2/9/2023,149.2999725,152.7239728,148.8546585,152.1796934,56007100
2/10/2023,149.6667023,149.9937686,147.8926317,148.1305022,57450700
2/13/2023,152.4814301,152.8877714,149.5774861,149.607218,62199000
2/14/2023,151.837204,152.4021408,149.5180231,150.7668093,61707600
2/15/2023,153.9482574,154.1167434,151.5200545,151.7480043,65573800
