Date,Close,High,Low,Open,Volume,Daily Return
2023-01-04,225.4009246826172,229.11004291520683,222.31162417160007,228.5295727424569,50623400,
2023-01-05,218.72055053710935,223.87595019915224,218.17942790835377,223.53159534110267,39585600,-0.029637740638883137
2023-01-06,221.29823303222656,222.11483350618235,215.80834191501188,219.399402361249,43613600,0.01178527801245588
2023-01-09,223.452880859375,227.5063689162388,222.75435303516963,222.7937005835737,27369800,0.009736398694311532
2023-01-10,225.15496826171875,227.5752404191146,223.65950614856143,224.0825561144177,27033900,0.0076172094796795875
2023-01-11,231.96322631835935,232.1403128053225,227.3784637763479,227.55555026331103,28669300,0.03023809827161683
2023-01-12,234.6589813232422,236.0265376031761,229.78890766519945,231.46145624309847,27269500,0.011621475729877373
2023-01-13,235.3673553466797,235.5050942869472,231.1269476008542,233.17336543655557,21333300,0.003018738168226065
2023-01-17,236.4692840576172,237.02023982375783,233.2619108280689,234.12770703910064,29831300,0.004681739782113947
2023-01-18,232.0025634765625,238.46649018475813,231.71725247842687,237.66957100427763,30028700,-0.018889221062496797
2023-01-19,228.1852264404297,231.717273329498,226.95540907287057,230.0053621493848,28623000,-0.016453857142481265
2023-01-20,236.34136962890625,236.85297782698208,230.7235576212136,231.0679124686992,35389800,0.035743519927683876
2023-01-23,238.66326904296875,241.21144691478196,235.7805694522852,237.20716954656385,31934000,0.00982434610457017
2023-01-24,238.1319732666016,240.01113767587688,236.5578161535958,238.58455263169677,40234400,-0.002226131312529356
2023-01-25,236.72506713867188,239.37163630425,227.17183998507755,230.6940384459196,66526600,-0.005908094190924196
2023-01-26,243.9957427978516,244.30073507436205,238.0926199882261,239.71597275590608,33454500,0.030713585794108544
2023-01-27,244.15318298339844,245.79621716500492,242.8446555187233,244.96978350702665,26498900,0.0006452579202469444
2023-01-30,238.7911529541016,241.6344897230893,238.2893779280104,240.56207771408907,25867400,-0.02196174534272377
2023-01-31,243.80882263183597,243.946561571732,239.02729227198975,239.519219201964,26541100,0.021012795556537345
2023-02-01,248.6690826416016,251.05984050317363,241.50662717936723,243.9957764396328,31259900,0.019934717527039014
2023-02-02,260.3277282714844,260.4162715128124,253.0963966480028,254.64105436023115,39940400,0.04688417838692871
2023-02-03,254.1786346435547,259.93418536513,252.9488173964162,255.34942306481736,29077300,-0.02362058651515242
2023-02-06,252.62413024902344,254.1294253669874,250.6662707885229,253.28332550812183,22518000,-0.006115794888548298
2023-02-07,263.23992919921875,264.43038393039234,255.8806917182153,256.3234379530733,50841400,0.042022109842519084
2023-02-08,262.42333984375,272.2913924433007,261.9117166421838,268.7888752510765,54686000,-0.003102072538739953
2023-02-09,259.3635559082031,269.5562977519744,258.55678851794653,269.379181234106,42375100,-0.011659724845239361
2023-02-10,258.8519592285156,259.8259649519676,256.45135338348246,257.30730144649624,25818500,-0.001972507964336234
2023-02-13,266.9392395019531,270.1662789980363,262.8365556487046,263.3186644624134,44630900,0.031242878352325087
2023-02-14,267.7755432128906,270.5303222673832,264.9321908808967,268.2674701886814,37047900,0.0031329365907306617
2023-02-15,265.6352233886719,267.02593565503673,262.5381698096659,264.6489051940905,28922400,-0.007992962309172236
2023-02-16,258.5633239746094,263.0905211433605,258.31674441138733,260.40773429150306,29603600,-0.02662259667165845
2023-02-17,254.5292205810547,256.5314449163379,252.4974079097836,255.8410403766065,30000100,-0.015601993861862784
2023-02-21,249.2129821777344,251.99440632830448,248.1477568679428,250.9982154566374,28397400,-0.020886554365679766
2023-02-22,248.06887817382807,250.86016040830225,246.914887717883,250.61358086515105,22491100,-0.004590868396616599
2023-02-23,251.2842559814453,253.32592653655792,247.0529430824124,252.0634406256624,29219100,0.012961633201582723
2023-02-24,245.81021118164065,247.56585628917176,244.70553966679515,246.54009203253247,24990900,-0.021784272868288546
2023-02-27,246.7373504638672,249.36096033836796,245.97788127913896,249.0058852046008,21190000,0.003771768787674379
2023-02-28,246.0074615478516,248.04914726252943,245.32689964295892,245.6622592388617,22491000,-0.0029581614402659495
2023-03-01,242.90057373046875,247.4968048471562,242.42713018495667,247.32913256854505,27565300,-0.012629242210112857
2023-03-02,247.67433166503903,247.9603572839141,242.2495822689708,243.1767236646656,24808200,0.019653135689450485
2023-03-03,251.7971343994141,252.12262116972,247.9504999321973,248.73955740111904,30760100,0.01664606383172096
2023-03-06,253.3555450439453,256.56107911582933,252.47772246933792,252.92156263851768,24109800,0.006189151628942735
2023-03-07,250.6727600097656,254.1643348030948,249.92316360923053,252.7933380816872,21473200,-0.01058901250301969
2023-03-08,250.2288818359375,251.05738537123528,247.37842332400535,250.56422635498396,17340200,-0.0017707475427757302
2023-03-09,248.8677978515625,256.008731482642,248.13791701716173,252.31991130747733,26653400,-0.005439356058296263
2023-03-10,245.18881225585935,249.3313452555301,244.21236697130587,247.64474973674507,28333900,-0.014782891267826836
2023-03-13,250.44590759277344,254.3813225039328,242.36795938303732,244.0151089187801,33339700,0.021441008211370516
2023-03-14,257.2218933105469,257.4980611612143,252.35933748625905,253.2371599508845,33620300,0.0270556855286741
2023-03-15,261.8082580566406,262.834037227096,255.6634859461734,256.4229700868152,46028000,0.0178303825038586
2023-03-16,272.42108154296875,272.776141624352,259.67783796593795,261.58142474678226,54768800,0.04053662617484011
2023-03-17,275.6068420410156,279.4534763679057,272.5394073918923,274.4528667929675,69527400,0.01169425097354071
2023-03-20,268.5054016113281,273.6835719142719,266.1579595913203,273.1904128378011,43466600,-0.02576656071778749
