Date,Close,High,Low,Open,Volume,Daily Return,SMA_30,EMA_30,RSI,MACD,MACD_signal,SMA_20,Upper_Band,Lower_Band,Signal,Portfolio_Value
2023-01-27,144.4113922,145.697867,141.5910594,141.6702287,70555800,0.0136844231741468,,133.63786755677606,92.31966407965592,3.5822774273195535,2.3595989942691675,,,,1,10000.0
2023-01-30,141.5118561,144.0353223,141.3634231,143.4514658,64015300,-0.0200783058443502,,134.1458668176292,79.64917888808793,3.61229058705365,2.610137312826064,,,,1,9799.932009099999
2023-01-31,142.7884216,142.8379043,140.7993444,141.2149718,65874500,0.0090209084608283,,134.703450997137,80.29481178527232,3.6964737510953967,2.8274046004799307,,,,1,9888.015028599999
2023-02-01,143.9165802,145.0843084,139.8493653,142.4717821,77663600,0.0079009109237186,,135.29784642957978,78.75714985987531,3.810299722340716,3.0239836248520877,,,,1,9965.857972
2023-02-02,149.2504883,149.6067274,146.6280566,147.3504556,118339000,0.0370624989322807,,136.1980168728327,83.39078336573216,4.28155433773415,3.2754977674285004,,,,1,10333.8976309
2023-02-03,152.8922119,155.7422463,146.2916244,146.4895401,154357300,0.0244000782944171,,137.27506171329512,84.75345583773043,4.89248614024774,3.5988954419923487,138.042356105,151.74955097397785,124.33516123602217,1,10585.1765593
2023-02-06,150.1510468,151.5068004,149.2109358,150.9823169,69858300,-0.0179287425169366,,138.10577042856642,76.32541507611579,5.096713144037608,3.898458982401401,139.13635253500001,153.05091056425877,125.22179450574126,1,10396.0361674
2023-02-07,153.0406189,153.6145849,149.0723547,149.0723547,83322600,0.0192444352642369,,139.06930903962666,80.20505980906643,5.429145030835457,4.2045961920882124,140.348603055,154.6879306759343,126.00927543406574,1,10595.4166423
2023-02-08,150.339035,152.9713572,149.5968399,152.2786448,64120100,-0.0176527246127073,,139.79638813384432,73.88806652097622,5.412215798772991,4.446120113425168,141.397077175,155.41932060159954,127.37483374840045,1,10409.0073532
2023-02-09,149.2999725,152.7239728,148.8546585,152.1796934,56007100,-0.0069114618169525,,140.40952260908017,69.51952132614413,5.254386305860578,4.60777335191225,142.25703429499998,155.9852667934073,128.52880179659266,1,10337.3120407
2023-02-10,149.6667023,149.9937686,147.8926317,148.1305022,57450700,0.0024563286506968,,141.00676000849435,66.6454021834191,5.100106472885159,4.706239976106832,143.139286035,156.35633108759083,129.92224098240916,1,10362.6163969
2023-02-13,152.4814301,152.8877714,149.5774861,149.607218,62199000,0.0188066400658579,,141.74706130472055,68.1367799747558,5.145647778982664,4.794121536681998,144.09547729,157.0982071019198,131.09274747808018,1,10556.8326151
2023-02-14,151.837204,152.4021408,149.5180231,150.7668093,61707600,-0.0042249479138377,,142.3980382528031,68.17743719211666,5.071297172888336,4.849556663923266,144.96107025,157.58059597548325,132.34154452451676,1,10512.3810142
2023-02-15,153.9482574,154.1167434,151.5200545,151.7480043,65573800,0.0139034001179314,,143.14321368165452,68.21064786724374,5.123655833379814,4.904376497814576,145.968336485,158.0419949304067,133.89467803959332,1,10658.0436988
2023-02-16,152.3426666,154.9393554,151.9858684,152.1444336,68167900,-0.010429418475509,,143.73672677316068,62.71298204682566,4.978207018284763,4.919142601908614,146.89235381999998,157.84126023372778,135.94344740627218,1,10547.2579336
2023-02-17,151.1929932,151.6389872,149.5081186,150.9947753,59144100,-0.0075466277810316,142.50490163,144.21777622005354,66.4400597034194,4.71580785183383,4.878475651893658,147.63024063,157.55286980890975,137.70761145109026,-1,10467.930468999999
2023-02-21,147.1591949,149.954117,147.0898255,148.8638959,58867200,-0.0266797965608369,143.13450418666665,144.40754516714688,56.78670988005998,4.134698579522308,4.7297202374193885,148.00612335,157.19713732056715,138.81510937943284,-1,10467.930468999999
2023-02-22,147.5853729,148.6161149,145.8509401,147.5457203,51011300,0.0028960337836152,143.76082966666667,144.6125663112019,55.82366666713336,3.666291570394776,4.517034504014466,148.333053585,156.92756522233316,139.73854194766682,-1,10467.930468999999
2023-02-23,148.0709991,149.0026398,145.930225,148.7548636,48394200,0.0032904764913865,144.38421121666667,144.83569100725342,47.787133709115665,3.296264333381515,4.272880469887877,148.71741637500003,156.46044974373504,140.97438300626501,-1,10467.930468999999
2023-02-24,145.404953,145.8806789,144.4237541,145.8013888,55469600,-0.0180051874857646,144.82768198,144.87241758743062,35.41918377633276,2.7561166458824573,3.969527705086793,148.86456985,156.20862331938744,141.52051638061258,-1,10467.930468999999
2023-02-27,146.6041718,147.8430523,146.1383514,146.3960483,44998500,0.0082474411996129,145.31376545666666,144.9841436656609,42.65142712449983,2.397179454299078,3.6550580549292504,148.97420883,156.1005871160297,141.84783054397033,-1,10467.930468999999
2023-02-28,146.0987091,147.7538517,145.5238667,145.7419109,50547000,-0.0034478057056216,145.73846892666668,145.0560511130376,34.04083662267564,2.048320761699017,3.333710596283204,149.20355148,155.57387494393788,142.8332280160621,-1,10467.930468999999
2023-03-01,144.0173798,145.9202984,143.7200454,145.5238627,55479000,-0.0142460485299388,146.05487009333334,144.98904006058356,35.0401391031522,1.58562377049725,2.9840932311260135,149.26499938999999,155.3939096274941,143.13608915250586,-1,10467.930468999999
2023-03-02,144.6120453,145.4049318,142.6199158,143.0956568,52238100,0.0041291231712856,146.41517384666665,144.9647178179653,38.66792383113743,1.2524797999488726,2.6377705448905857,149.29977264500002,155.30761013435566,143.29193515564438,-1,10467.930468999999
