Price,Close,High,Low,Open,Volume
Ticker,NFLX,NFLX,NFLX,NFLX,NFLX
Date,,,,,
2023-01-03,294.95001220703125,298.3900146484375,288.70001220703125,298.05999755859375,6764000
2023-01-04,309.4100036621094,311.1400146484375,295.510009765625,298.239990234375,9345100
2023-01-05,309.70001220703125,314.17999267578125,304.54998779296875,307.0,8328400
2023-01-06,315.54998779296875,316.7699890136719,303.69000244140625,311.57000732421875,8959800
2023-01-09,315.1700134277344,321.70001220703125,313.2200012207031,316.8299865722656,6766600
2023-01-10,327.5400085449219,329.3500061035156,311.07000732421875,311.07000732421875,13072300
2023-01-11,327.260009765625,328.8800048828125,321.3500061035156,326.5,9579700
2023-01-12,330.1300048828125,332.95001220703125,323.1400146484375,332.5,10856200
2023-01-13,332.82000732421875,336.6499938964844,328.8900146484375,329.9700012207031,8286800
2023-01-17,326.2200012207031,332.5,323.6000061035156,331.0799865722656,9247000
2023-01-18,326.3299865722656,330.0799865722656,321.25,326.75,7814100
2023-01-19,315.7799987792969,324.8900146484375,313.3900146484375,322.57000732421875,18008200
2023-01-20,342.5,344.0,332.6300048828125,336.7900085449219,28430300
2023-01-23,357.4200134277344,362.25,340.6300048828125,341.7200012207031,15646900
2023-01-24,363.8299865722656,365.6499938964844,355.1400146484375,357.5299987792969,11796500
2023-01-25,367.9599914550781,368.8999938964844,358.5,360.57000732421875,7766900
2023-01-26,364.8699951171875,369.0199890136719,361.70001220703125,368.7699890136719,8256800
2023-01-27,360.7699890136719,365.9200134277344,360.5899963378906,363.20001220703125,6703500
2023-01-30,353.1099853515625,360.95001220703125,352.8599853515625,358.44000244140625,5127600
2023-01-31,353.8599853515625,355.95001220703125,348.7099914550781,349.9800109863281,5660700
2023-02-01,361.989990234375,365.3900146484375,349.9100036621094,353.8599853515625,8005200
2023-02-02,366.8900146484375,368.32000732421875,358.42999267578125,365.1600036621094,7857000
2023-02-03,365.8999938964844,379.42999267578125,359.0,359.0799865722656,9402000
2023-02-06,361.4800109863281,368.45001220703125,360.67999267578125,363.6400146484375,4994900
2023-02-07,362.95001220703125,364.17999267578125,354.17999267578125,358.510009765625,6289400
2023-02-08,366.8299865722656,368.19000244140625,358.30999755859375,360.0199890136719,6253200
2023-02-09,362.5,373.8299865722656,361.739990234375,372.4100036621094,6901100
2023-02-10,347.3599853515625,362.1400146484375,347.1400146484375,359.1600036621094,7291100
2023-02-13,358.57000732421875,359.70001220703125,344.25,349.5,7134400
2023-02-14,359.9599914550781,363.75,353.3999938964844,357.54998779296875,4624800
2023-02-15,361.4200134277344,362.8800048828125,354.239990234375,356.6300048828125,3966000
2023-02-16,350.7099914550781,361.5,350.30999755859375,355.0,5215700
2023-02-17,347.9599914550781,349.0,342.44000244140625,347.9100036621094,5294700
2023-02-21,337.5,344.1300048828125,336.4200134277344,342.8500061035156,5710300
2023-02-22,334.8800048828125,341.9100036621094,332.82000732421875,337.5,4546200
2023-02-23,323.6499938964844,331.2799987792969,314.29998779296875,331.2300109863281,13238700
2023-02-24,317.1499938964844,321.5,314.5199890136719,319.29998779296875,6830700
2023-02-27,323.0299987792969,330.0,322.1199951171875,323.8699951171875,6142600
